id_ejecucion_actividad;fk_numero_actividad;fk_id_user;fk_id_responsable;fk_id_mes;programado;ejecutado;descripcion_actividades;evidencias
;7;1;1;1;86;86;ENERO: Se realizaron cursos de apicultura, ilustración científica, botánica para no botánicos, jardinería y fotografía vinculando un total de 86 personas;Listas de asistencia
;7;1;1;2;177;177;FEBRERO: Se realizaron curso cortos, comunidades de diferentes localidades como San Cristóbal, Engativá, Suba, Ciudad Bolívar, Teusaquillo, Bosa y La Candelaria. ;Listas de asistencia
;7;1;1;3;268;268;MARZO: Se realizaron 9 cursos sobre biodiversidad, coberturas, polinizadores, cambio climático y jardinería, vinculando un total de 268 personas. ;Listas de asistencia
;7;1;1;4;300;0;;
;7;1;1;5;300;0;;
;7;1;1;6;350;0;;
;7;1;1;7;400;0;;
;7;1;1;8;400;0;;
;7;1;1;9;300;0;;
;7;1;1;10;300;0;;
;7;1;1;11;300;0;;
;7;1;1;12;132;0;;
;8;1;1;1;0;0;ENERO: Durante el mes de enero no se realizaron actividades.;"Listas de asistencia Registro de acciones de educación ambiental presenciales Reporte de Actividades Virtuales										"
;8;1;1;2;48;48;FEBRERO: Se realizaron 2 cursos en la modalidad de e-learning uno en apicultura y otro en jardinería, vinculando un total de 48 personas.;"Listas de asistencia Registro de acciones de educación ambiental presenciales Reporte de Actividades Virtuales										"
;8;1;1;3;0;0;MARZO: Durante el mes de marzo no se realizaron actividades, es importante destacar que por la dinámicas de la ciudadanía se están retomando cursos de manera presencial. Se espera dar cumplimiento a la meta anual en los próximos meses. Monitoreo OAP: Para el enero y marzo no se encontraron soportes, en febrero se anexa el documento Cursos Virtuales donde se encuentra un listado de asistentes al curso de jardinería con 48 personas relacionadas y se valida con la subdirección que la información se puede corroborar en las carpetas físicas de la línea de educación ambiental, para un cumplimiento del 100% durante el trimestre;"Listas de asistencia Registro de acciones de educación ambiental presenciales Reporte de Actividades Virtuales										"
;8;1;1;4;50;0;;
;8;1;1;5;50;0;;
;8;1;1;6;50;0;;
;8;1;1;7;50;0;;
;8;1;1;8;100;0;;
;8;1;1;9;50;0;;
;8;1;1;10;50;0;;
;8;1;1;11;50;0;;
;8;1;1;12;100;0;;
;9;1;1;1;269;269;ENERO: Se realizaron las actividades los días sábados, domingos y un lunes festivo, esta operación depende del acompañamiento de Policía y/o Policía Militar, quienes nos han acompañado sin falta los días de operación, favorablemente hemos logrado operar sin parar el mes de enero, vinculando a 269 ciudadanos en el sendero Vicachá.;Registro de acciones de educación ambiental presenciales 
;9;1;1;2;235;235;FEBRERO: la operación del camino san Francisco vicacha, cada mes tiene más acogida y asistencia por los ciudadanos, propios y extranjeros, en este orden de ideas, logramos cumplir la meta mensual de asistencia a personas, sin importar las condiciones meteorológicas. se vincularon un total de 235 ciudadanos.;Registro de acciones de educación ambiental presenciales 
;9;1;1;3;288;288;MARZO: Durante este mes logramos desarrollar con algo más de 80 personas actividades de educación ambiental enfocadas en la importancia y el papel del bosque altoandino como reservorio, conductor y potenciador del recurso hídrico. Sumado a esto, los días 12 y 13 de marzo, hubo cierre del camino al no contar y no pretender ocupar Ejercito ni policía dispuesta para los comicios electorales logramos superar la meta de atención a personas, con un total de 288 ciudadanos vinculados. Dado lo anterior, se presenta una sobre ejecución en la actividad. Monitoreo OAP: De acuerdo con el formato APR.PR.01.F.08 Registro de acciones de educación ambiental presenciales, en el mes de enero participaron 269 personas, en el mes de febrero se verificaron las listas de asistencia y el mismo formato, evidenciando la asistencia de 235 personas, en marzo se validaron las listas de asistencia verificando la asistencia de 288 personas, dando cumplimiento al 100% de lo programado para el trimestre.;Registro de acciones de educación ambiental presenciales 
;9;1;1;4;250;0;;
;9;1;1;5;250;0;;
;9;1;1;6;300;0;;
;9;1;1;7;300;0;;
;9;1;1;8;250;0;;
;9;1;1;9;250;0;;
;9;1;1;10;250;0;;
;9;1;1;11;250;0;;
;9;1;1;12;212;0;;
;10;1;1;1;122;122;ENERO: En el marco de la semana de la Educación ambiental se vincularon 122 ciudadanos en 5 prácticas verdes: Cuatro jornadas de Relatos ambientales en el que se atendió a personas mayores de Bosa y Kennedy, y una actividad de pequeños viajeros para infancia con una buena asistencia de la población.;Listas de asistencias
;10;1;1;2;211;211;FEBRERO: Se implementaron experiencias ambientales no programadas con enfoque diferencial y para discapacidad, en la que participó público visitante en su mayoría adultez. Con el fin de dar a conocer el ejercicio de interpretación de señas. Se desarrollaron cuatro (4) prácticas verde: pequeños viajeros, para infancia.  Finalmente se atendió población vulnerable, en su mayoría mujeres, sectores sociales LGTBI y campesinos en el marco de la experiencia ambiental: intercambio de semillas. En total se vincularon 211 ciudadanos.;Listas de asistencias
;10;1;1;3;355;355;MARZO: En el marco de la semana de conmemoración del día internacional de la mujer se desarrollaron 3 actividades: una dirigida a mujeres caminantes hacia los cerros orientales, por el sendero San Francisco- Vicachá dos adicionales en el jardín Botánico, una en la maloca y otra como recorrido por las colecciones vivas. Finalmente se hizo un tejiendo la palabra con visión de mujer. Se desarrollaron las 3 Prácticas verdes de pequeños viajeros para atender primera infancia, infancia y sus familiares y finalmente se desarrolló 1 práctica verde dirigida a población vulnerable de los sectores sociales LGTBI, que se llamó cuidando me cuido. Finalmente se hizo un tejiendo la palabra con visión de mujer, en que se invitó a Laura Contreras quien nos habló de su trabajo en medicina de mujer. En total se vincularon 355 personas. Monitoreo OAP: Se validaron los listados de asistencia para los meses de enero, febrero y marzo, así como el formato APR.PR.01.F.08 Registro de acciones de educación ambiental presenciales en donde se evidenció la participación de 122 personas en la semana ambiental y pequeños viajeros en enero, en febrero se validaron los listados de asistencia de las experiencias programadas, prácticas verdes y actividades no programadas donde se evidenció la asistencia de 211 personas, para marzo se adjuntaron 14 actas y el formato APR.PR.01.F.10 Reporte de Actividades Virtuales y el reporte de actividades no programadas evidenciando la participación de 355 personas, para un total en el trimestre de 688 personas, dando cumplimiento al 100% de lo programado para el trimestre.;Listas de asistencias
;10;1;1;4;500;0;;
;10;1;1;5;500;0;;
;10;1;1;6;500;0;;
;10;1;1;7;500;0;;
;10;1;1;8;600;0;;
;10;1;1;9;500;0;;
;10;1;1;10;500;0;;
;10;1;1;11;500;0;;
;10;1;1;12;645;0;;
;11;1;1;1;233;233;ENERO: se vincularon 233 ciudadanos en 9 actividades de este enfoque: 3 experiencias ambientales no programadas, 1 experiencia ambiental programada, y, finalmente 5 prácticas verdes, en donde se realizaron actividades en la maloca como casa de pensamiento. Las actividades programadas para la semana de la educación ambiental fueron bien recibidas por los y las visitantes del Jardín Botánico, creando expectativa del uso, la importancia de la maloca en el Jardín Botánico.;Listas de asistencias
;11;1;1;2;724;724;FEBRERO: Se vincularon 724 ciudadanos, se desarrollaron experiencias ambientales con enfoque intercultural, de los cuales diez (10) fueron Recorrido con enfoque intercultural no programados y uno (1) programado. Las actividades agendadas en la maloca se desarrollaron con gran éxito así: dos (2) Relatos de Origen manguaré, cuatro (4) sesiones de Miradas Bioculturales sonidos, (6) Jornadas de agradecimiento a la naturaleza, la maloca se prestó en dos (2) ocasiones para grupos étnicos y los martes de atención al público y el jardín de noche se cuentan como siete (7) sesiones. Además se realizaron dos (2) Tejiendo la palabra con enfoque intercultural sobre el manguaré y sonidos ancestrales que sanan o musicoterapia.;Listas de asistencias
;11;1;1;3;662;662;MARZO: la agenda académica y cultural giro alrededor del tema poblacional con la relación del agua, las mujeres y la yuca dulce. Se atendieron en total 631 personas. Se realizaron experiencias ambientales con enfoque intercultural y dirigidos a comunidades étnicas, con 5 acciones maloca casa de pensamiento con 17 acciones, 1 tejiendo la palabra con enfoque intercultural alrededor del agua y finalmente, posicionamiento con 6 acciones que corresponden a reuniones con la institucionalidad y las comunidades. En estos tres ítems se lograron desarrollar 28 actividades en total y la vinculación de 31 personas. Monitoreo OAP: En el mes de enero se validaron 6 listados de asistencia adjuntos para los eventos en la Maloka y uno de actividades de posicionamiento, verificando la asistencia de 213 personas, en febrero se validaron los listados de asistencia adjuntos y se compararon con el formato APR.PR.01.F.08 Registro de acciones de educación ambiental presenciales y con el formato APR.PR.01.F.10 Reporte de Actividades Virtuales, validando la asistencia de 607 personas, igualmente en marzo se validaron los mismos formatos y los listados de asistencia correspondientes, verificando la participación de 657 personas, dando cumplimiento al 100% de lo programado para el trimestre.;Listas de asistencias
;11;1;1;4;600;0;;
;11;1;1;5;500;0;;
;11;1;1;6;500;0;;
;11;1;1;7;500;0;;
;11;1;1;8;600;0;;
;11;1;1;9;600;0;;
;11;1;1;10;800;0;;
;11;1;1;11;600;0;;
;11;1;1;12;438;0;;
;12;1;1;1;60;60;ENERO: Se realizó la presentación de un PRAE en un tejiendo la palabra, lo que permitió divulgar acciones educativas que se están llevando a cabo en el marco de la educación ambiental. ;Registro de actividades virtuales
;12;1;1;2;84;84;FEBRERO: se realizó el Conversatorio Los PRAE: experiencias pedagógicas, desafíos y aprendizajes vinculando 84 personas.;Registro de actividades virtuales
;12;1;1;3;623;623;MARZO: Se realizaron dos charlas informativas sobre el servicio Social Ambiental con el jardín Botánico hubo buena acogida de la comunidad educativa, identificó participantes de IE conocidas y no conocidas, lo que demuestra un alto interés en la oferta de la estrategia de SSA por parte del JBB. Se realizaron dos actividades para el fortalecimiento del PRAE Un conversatorio y una reunión con colegios específicos quienes están interesados en recibir este tipo de apoyo por parte del Jardín. Se vincularon un total de 623 jóvenes. Monitoreo OAP: Se valida la participación de 60 personas en enero, 84 en febrero y en marzo se validó la asistencia al Jardín de noche y a la reunión del 18 de marzo y la  socialización PRAU del 31 de marzo contabilizando 623 personas para un total de 767 personas, dando cumplimiento al 100% de lo programado para el trimestre.;Registro de actividades virtuales
;12;1;1;4;500;0;;
;12;1;1;5;500;0;;
;12;1;1;6;600;0;;
;12;1;1;7;500;0;;
;12;1;1;8;500;0;;
;12;1;1;9;600;0;;
;12;1;1;10;500;0;;
;12;1;1;11;600;0;;
;12;1;1;12;77;0;;
;13;1;1;1;0;0;ENERO:  De acuerdo a la programación de actividades trazadas para la vigencia 2022, durante el mes de enero no se realizó la formación a dinamizadores ambientales, toda vez que se estaba realizando el proceso de planeación institucional y la entidad estaba en proceso de contratación de los profesionales de participación. Se espera iniciar los procesos de formación, los cuales culminarán en abril, y se reportarán en mayo.;
;13;1;1;2;0;0;FEBRERO: De acuerdo a la programación de actividades trazadas para la vigencia 2022, durante el primer bimestre no se realizó la formación a dinamizadores ambientales, Se espera iniciar los procesos de formación, los cuales culminarán en abril, y se reportarán en mayo. FEBRERO: De acuerdo a la programación de actividades trazadas para la vigencia 2022, durante el primer bimestre no se realizó la formación a dinamizadores ambientales, Se espera iniciar los procesos de formación, los cuales culminarán en abril, y se reportarán en mayo. Monitoreo OAP: La actividad no tiene programación para el primer trimestre;
;13;1;1;3;0;0;-;
;13;1;1;4;25;0;;
;13;1;1;5;0;0;;
;13;1;1;6;0;0;;
;13;1;1;7;25;0;;
;13;1;1;8;0;0;;
;13;1;1;9;25;0;;
;13;1;1;10;0;0;;
;13;1;1;11;20;0;;
;13;1;1;12;0;0;;
;14;1;1;1;0;0;ENERO: De acuerdo a la programación de actividades trazadas para la vigencia 2022, durante el mes de enero no se realizaron jornadas de replantando confianza, toda vez que la entidad se encontraba en proceso de contratación de los profesional de participación y se estaba realizando la planeación institucional. Se espera iniciar las jornadas en el mes de febrero.;
;14;1;1;2;1;1;FEBRERO: A corte de 28 de febrero de 2022, se realizó 1 replantando confianza en la localidad de suba sector el Prado en el parque Puente Largo, se implemento el proceso de corresponsabilidad con la comunidad educativa del colegio Especializado del Norte, logrando establecer compromisos de protección y cuidado de las coberturas vegetales.;
;14;1;1;3;2;1;MARZO: Se realizaron 1 replantando confianza en la localidad de Fontibón, sector Atahualpa con el propósito de proteger el arbolado del sector. La presencialidad ha permitido vincular población escolar a los procesos de participación y educación ambiental en las diferentes zonas de la ciudad. No se logra el cumplimiento de lo programado en el trimestre, pero se están generando los cronogramas para desarrollar las 13 jornadas restantes para la vigencia 2022. Monitoreo OAP: Se evidencia la realización de jornadas de replantando confianza en la localidad de Suba y en Fontibón, para un cumplimiento en el trimestre del 66,67%;
;14;1;1;4;2;0;;
;14;1;1;5;2;0;;
;14;1;1;6;2;0;;
;14;1;1;7;2;0;;
;14;1;1;8;2;0;;
;14;1;1;9;1;0;;
;14;1;1;10;1;0;;
;15;1;1;1;0;0;ENERO: De acuerdo a la programación de actividades trazadas para la vigencia 2022, durante el mes de enero no se realizaron nuevas redes de cuidadores y cuidadoras por el entorno ambiental. No obstante, se realizaron actividades con la comunidad que actualmente esta vinculada a las redes.;
;15;1;1;2;2;2;FEBRERO: A corte de 28 de febrero de 2022 se realizaron 2 redes de cuidadores por el entorno ambiental, una de ellas en la localidad de Engativá, denominada cambiando historias. La segunda red se conforma en la localidad de Teusaquillo sector Galerías, con el grupo de Scouts Meraki.;
;15;1;1;3;2;2;MARZO: Se conforman 2 redes, una de ellas en la localidad de Teusaquillo en el Parque Guernika. Igualmente, en la localidad de La Candelaria, se conforma la red Ecorosario junto con los jóvenes y comunidad educativa. Monitoreo OAP: Se evidencia la conformación de 4 redes de cuidadores y cuidadoras ambientales durante el trimestre, para un cumplimiento de 100% de la actividad.;
;15;1;1;4;3;0;;
;15;1;1;5;3;0;;
;15;1;1;6;2;0;;
;15;1;1;7;2;0;;
;15;1;1;8;2;0;;
;15;1;1;9;2;0;;
;15;1;1;10;1;0;;
;15;1;1;11;1;0;;
;15;1;1;12;0;0;;
;16;1;1;1;10;10;ENERO: Durante el mes de enero se realizó la gestión de planeación estratégica para la programación de actividades a implementar en las cuatro estrategias de corresponsabilidad socio ambiental, cultura y ciudadanía con enfoque territorial. Se avanzó en la implementación de las siguientes acciones: 1. PRAUS: 0 acciones 2. COMUNICACIÓN EDUCATIVA: 0 acciones 3. ETNOCULTURALIDAD: 10 acciones (Recorridos con enfoque intercultural y visita a la maloca, Atención en la maloca a público visitante, Maloca: Elementales de la naturaleza, Maloca: miradas a la educación ambiental -aporte etnoeducación, Maloca: miradas a la educación ambiental -aporte escuela de parteras, Maloca: Jornada de agradecimiento a la naturaleza y Reunión Consejo Consultivo Indígena) 4. E-LEARNING: 0 acciones.;soporte de implementación de acciones
;16;1;1;2;42;42;FEBRERO: A corte de 28 de febrero de 2022 se han realizado actividades para implementar en las cuatro estrategias de corresponsabilidad socio ambiental, cultura y ciudadanía con enfoque territorial. Se avanzó con la implementación de las siguientes acciones: 1. PRAUS: 0 acciones 2. COMUNICACIÓN EDUCATIVA: 1 acciones (Elaboración de herramienta comunicativa para el servicio social ambiental) 3. ETNOCULTURALIDAD: 39 acciones ( experiencias ambientales con enfoque étnico, actividades en maloca casa del pensamiento, Recorridos con enfoque intercultural, tejiendo la palabra, jornadas de agradecimiento) 4. E-LEARNING: 2 acciones (curso de jardinería y apicultura);soporte de implementación de acciones
;16;1;1;3;30;30;MARZO: Se han realizado actividades para implementar en las cuatro estrategias de corresponsabilidad socio ambiental, cultura y ciudadanía con enfoque territorial. Se avanzó con la implementación de las siguientes acciones: 1. PRAUS: 1 acciones de socialización 2. COMUNICACIÓN EDUCATIVA: 1 acciones 3. ETNOCULTURALIDAD: 28 acciones ( experiencias ambientales con enfoque étnico, actividades en maloca casa del pensamiento, Recorridos con enfoque intercultural, tejiendo la palabra, jornadas de agradecimiento) monitoreo OAP: Se evidencia la ejecución de 82 acciones de la estrategia de etnoculturalidad en el trimestre para un cumplimiento del 100% de la actividad.;soporte de implementación de acciones
;16;1;1;4;46;0;;
;16;1;1;5;47;0;;
;16;1;1;6;45;0;;
;16;1;1;7;45;0;;
;16;1;1;8;46;0;;
;16;1;1;9;47;0;;
;16;1;1;10;47;0;;
;16;1;1;11;46;0;;
;16;1;1;12;65;0;;
;17;1;1;1;2;2;ENERO: En el primer mes de 2022 se elaboraron, diseñaron y divulgaron por canales internos las ediciones 21 y 22 del Boletín Interno Reverdeciendo.;Boletines, Reporte de mailing
;17;1;1;2;2;2;FEBRERO: se realizó, diseñó y se divulgó mediante la plataforma mailchimp a correos institucionales las ediciones 23 y 24 del boletín quincenal Reverdeciendo Noticias desde el Jardín.;Boletines, Reporte de mailing
;17;1;1;3;2;2;MARZO: La edición 25 y 26 fueron difundidas internamente los días 15 y 31 de marzo para informar a personal de planta y prestación de servicios bajo las notas periodísticas del Reverdeciendo, Noticias desde el Jardín. Monitoreo OAP: Se evidencia la elaboración de 6 boletines informativos durante el trimestre, dando cumplimiento al 100% de lo programado para el trimestre.;Boletines, Reporte de mailing
;17;1;1;4;2;0;;
;17;1;1;5;2;0;;
;17;1;1;6;2;0;;
;17;1;1;7;2;0;;
;17;1;1;8;2;0;;
;17;1;1;9;2;0;;
;17;1;1;10;2;0;;
;17;1;1;11;2;0;;
;17;1;1;12;2;0;;
;18;1;1;1;100;100;ENERO: Durante el período reportado se recibieron 23 solicitudes las cuales fueron atendidas en un 100%, dentro del tiempo solicitado por el profesional remitente del formato, la mayoría de las cuales corresponden a piezas gráficas;Matriz de seguimiento de requerimientos
;18;1;1;2;100;100;FEBRERO: se recibieron 111 solicitudes entre publicación en correo, creación de piezas, acompañamiento de periodista, entre otras, las cuales se atendieron a satisfacción según la fecha requerida por el solicitante.;Matriz de seguimiento de requerimientos
;18;1;1;3;100;100;MARZO: En total de requerimientos recibidos mediante el FORMS a comunicaciones fueron para el mes de marzo 158 y debido a las fechas solicitadas por ellos mismo quedaron pendiente 9 y se cancelaron 3. Monitoreo OAP: Se evidencia el cumplimiento del 100% de la actividad de acuerdo con las evidencias aportadas, atendiendo el 100% los requerimientos y necesidades comunicativas solicitadas por las dependencias del JBB.;Matriz de seguimiento de requerimientos
;18;1;1;4;100;0;;
;18;1;1;5;100;0;;
;18;1;1;6;100;0;;
;18;1;1;7;100;0;;
;18;1;1;8;100;0;;
;18;1;1;9;100;0;;
;18;1;1;10;100;0;;
;18;1;1;11;100;0;;
;18;1;1;12;100;0;;
;19;1;1;1;100;100;ENERO: En materia de contenidos para canales externos digitales durante el mes de enero se publicaron 44 notas en redes sociales con igual número de piezas gráficas, en torno a temáticas como Programación de la Agenda Académica y Cultural, semana de la Educación Ambiental y temas varios relacionados con las intervenciones técnicas y de participación ciudadana en las localidades visitadas por la Señora Alcaldesa durante el mes de enero, desde la línea misional del JBB. Adicional a estas actividades, las redes sociales se unieron a las sinergias temáticas distritales.;Reporte de redes sociales
;19;1;1;2;100;100;FEBRERO: En materia de contenidos para canales externos digitales durante el mes de febrero se publicaron 99 notas en redes sociales con igual número de piezas gráficas, en torno a temáticas como Programación de la Agenda Académica y Cultural, día mundial de los humedales, curso virtual de agricultura urbana, día Internacional del control biológico, entre otros. y temas varios relacionados con las intervenciones técnicas y de participación ciudadana en las diferentes localidades. Adicional a estas actividades, las redes sociales se unieron a las sinergias temáticas distritales.;Reporte de redes sociales
;19;1;1;3;100;100;MARZO: En materia de contenidos para canales externos digitales durante el mes de marzo se publicaron 560 notas en redes sociales de las cuales 106 corresponden a a piezas gráficas elaboradas por comunicaciones, en torno a temáticas como Programación de la Agenda Académica y Cultural, día de los bosques, semana de la mujer, día mundial de la eficiencia energética, entre otros. y temas varios relacionados con las intervenciones técnicas y de participación ciudadana en las diferentes localidades. Adicional a estas actividades, las redes sociales se unieron a las sinergias temáticas distritales.;Reporte de redes sociales
;19;1;1;4;100;0;;
;19;1;1;5;100;0;;
;19;1;1;6;100;0;;
;19;1;1;7;100;0;;
;19;1;1;8;100;0;;
;19;1;1;9;100;0;;
;19;1;1;10;100;0;;
;19;1;1;11;100;0;;
;19;1;1;12;100;0;;
;20;1;1;1;100;100;ENERO: En el mes de enero se atendieron integralmente todas las solicitudes de publicación de contenidos, documentos, informes y demás material informativo al portal institucional.;Matriz de publicación en página web
;20;1;1;2;100;100;FEBRERO: se atendieron integralmente 61 solicitudes de publicación de contenidos, documentos, informes y demás material informativo al portal institucional. ;Matriz de publicación en página web
;20;1;1;3;100;100;MARZO: Durante el mes de marzo, se atendieron integralmente 74 solicitudes de publicación de contenidos, documentos, informes y demás material informativo al portal institucional. Monitoreo OAP: De acuerdo con el formato GCO.PR.07.F.01 PARRILLA DE PUBLICACIONES MENSUAL EN PÁGINA WEB, en la verificación del esquema de publicaciones del JBB se atendieron todas las solicitudes de publicación recibidas de las dependencias, dando cumplimiento al 100% de lo programado para el trimestre.;Matriz de publicación en página web
;20;1;1;4;100;0;;
;20;1;1;5;100;0;;
;20;1;1;6;100;0;;
;20;1;1;7;100;0;;
;20;1;1;8;100;0;;
;20;1;1;9;100;0;;
;20;1;1;10;100;0;;
